country,iso2c,iso3c,year,GDPpc,Life,Gini,CO2pc
Norway,NO,NOR,2021,92205.7698636049,83.1634146341463,29.1,8.21471362641264
Norway,NO,NOR,2022,129914.042717786,82.509756097561,26.9,7.9798582660803
Norway,NO,NOR,2023,107767.977198972,83.0121951219512,26.5,7.53753758650308
Qatar,QA,QAT,2015,102545.939634633,81.785,NA,48.6591283555913
Qatar,QA,QAT,2016,89934.692005072,82.147,NA,46.043357731359
Qatar,QA,QAT,2017,99358.3403307696,82.458,35.1,44.8208042988114
Qatar,QA,QAT,2018,110032.713236323,82.714,NA,44.520899868022
Qatar,QA,QAT,2019,107502.469793988,82.945,NA,44.592192164423
Qatar,QA,QAT,2020,82149.3573751713,80.409,NA,41.2780926421936
Qatar,QA,QAT,2021,116832.570294098,81.083,NA,47.2839742745248
Qatar,QA,QAT,2022,122901.018274888,81.857,NA,45.1959539884538
Qatar,QA,QAT,2023,129024.806992334,82.368,NA,48.6426368357008
South Africa,ZA,ZAF,2015,13397.5234813346,64.053,NA,8.14948651738695
South Africa,ZA,ZAF,2016,13519.3235102376,64.749,NA,8.03701551903542
South Africa,ZA,ZAF,2017,13738.4385854596,65.422,NA,8.14751418587147
South Africa,ZA,ZAF,2018,13347.3634826038,65.726,NA,8.077016906198
South Africa,ZA,ZAF,2019,13361.4851289112,66.071,NA,8.01412233375962
South Africa,ZA,ZAF,2020,12671.0862436851,65.15,NA,7.4445834618028
South Africa,ZA,ZAF,2021,13681.9548144813,62.01,NA,7.29340675223128
South Africa,ZA,ZAF,2022,14746.7103701698,65.454,54.1,6.88263936192025
South Africa,ZA,ZAF,2023,15212.2609596178,66.139,NA,6.75922774879049
United States,US,USA,2015,56849.4697923159,78.690243902439,41.5,15.9501022949136
United States,US,USA,2016,57976.628204291,78.5390243902439,41.3,15.5045482189269
United States,US,USA,2017,60047.7190728307,78.5390243902439,41.4,15.1847127213968
United States,US,USA,2018,62875.6661382728,78.6390243902439,41.8,15.5796456645972
United States,US,USA,2019,65227.9565911038,78.7878048780488,41.9,15.0439662080505
United States,US,USA,2020,64465.2971415748,76.9804878048781,40,13.4715665664099
United States,US,USA,2021,71441.231980595,76.3292682926829,39.7,14.3160979329351
United States,US,USA,2022,78008.6895811877,77.4341463414634,41.7,14.4186221294233
United States,US,USA,2023,82586.7847707891,78.3853658536585,41.8,13.7140258849034
Viet Nam,VN,VNM,2015,7671.5819778084,73.955,NA,2.16344818077591
Viet Nam,VN,VNM,2016,8374.50684516118,73.984,35.3,2.38090235568537
Viet Nam,VN,VNM,2017,9169.73192052855,74.026,NA,2.40871172027244
Viet Nam,VN,VNM,2018,10009.9714756006,74.1,35.7,2.93126723532271
Viet Nam,VN,VNM,2019,11029.2732083963,74.211,NA,3.46316479458409
Viet Nam,VN,VNM,2020,11609.3177276423,75.383,36.8,3.5515331687432
Viet Nam,VN,VNM,2021,12048.9019935536,74.145,NA,3.39788716841419
Viet Nam,VN,VNM,2022,13902.9499867089,74.502,36.1,3.45101965872917
Viet Nam,VN,VNM,2023,15033.899969483,74.588,NA,3.89354026267807
